(numpy.datetime64('2023-12-01T00:00:00.000000000'), 4.35246, 4.36717, 4.32019, 4.32312, 'Friday', 'Fri', 'December', 'Dec', 4.340735, nan, nan, nan, True),
(numpy.datetime64('2023-11-30T00:00:00.000000000'), 4.34406, 4.36654, 4.3334, 4.35274, 'Thursday', 'Thu', 'November', 'Nov', 4.349185, nan, nan, nan, True),
(numpy.datetime64('2023-11-29T00:00:00.000000000'), 4.32132, 4.34697, 4.31802, 4.34327, 'Wednesday', 'Wed', 'November', 'Nov', 4.332395, nan, nan, nan, True),
(numpy.datetime64('2023-11-28T00:00:00.000000000'), 4.34934, 4.3555, 4.31703, 4.3215, 'Tuesday', 'Tue', 'November', 'Nov', 4.3358425, nan, nan, nan, True),
(numpy.datetime64('2023-11-27T00:00:00.000000000'), 4.36731, 4.37198, 4.34295, 4.34958, 'Monday', 'Mon', 'November', 'Nov', 4.3579550000000005, nan, nan, nan, True),
(numpy.datetime64('2023-11-24T00:00:00.000000000'), 4.36886, 4.37606, 4.35761, 4.36818, 'Friday', 'Fri', 'November', 'Nov', 4.3676775, nan, nan, nan, True),
(numpy.datetime64('2023-11-23T00:00:00.000000000'), 4.3656, 4.37534, 4.35657, 4.3688, 'Thursday', 'Thu', 'November', 'Nov', 4.3665775, nan, nan, nan, True),
(numpy.datetime64('2023-11-22T00:00:00.000000000'), 4.37121, 4.38262, 4.36024, 4.36476, 'Wednesday', 'Wed', 'November', 'Nov', 4.3697075000000005, nan, nan, nan, True),
(numpy.datetime64('2023-11-21T00:00:00.000000000'), 4.35359, 4.38018, 4.34105, 4.37133, 'Tuesday', 'Tue', 'November', 'Nov', 4.3615375, nan, nan, nan, True),
(numpy.datetime64('2023-11-20T00:00:00.000000000'), 4.38747, 4.38974, 4.34725, 4.35122, 'Monday', 'Mon', 'November', 'Nov', 4.368919999999999, nan, nan, nan, True),
(numpy.datetime64('2023-11-17T00:00:00.000000000'), 4.37808, 4.39385, 4.36568, 4.38524, 'Friday', 'Fri', 'November', 'Nov', 4.3807125, nan, nan, nan, True),
(numpy.datetime64('2023-11-16T00:00:00.000000000'), 4.39001, 4.40854, 4.3633, 4.37818, 'Thursday', 'Thu', 'November', 'Nov', 4.3850075, nan, nan, nan, True),
(numpy.datetime64('2023-11-15T00:00:00.000000000'), 4.39856, 4.40453, 4.38286, 4.38964, 'Wednesday', 'Wed', 'November', 'Nov', 4.3938975000000005, nan, nan, nan, True),
(numpy.datetime64('2023-11-14T00:00:00.000000000'), 4.42793, 4.4299, 4.39557, 4.39784, 'Tuesday', 'Tue', 'November', 'Nov', 4.41281, nan, nan, nan, True),
(numpy.datetime64('2023-11-13T00:00:00.000000000'), 4.42711, 4.43764, 4.42273, 4.42785, 'Monday', 'Mon', 'November', 'Nov', 4.4288325, nan, nan, nan, True),
(numpy.datetime64('2023-11-10T00:00:00.000000000'), 4.43433, 4.44124, 4.415, 4.4275, 'Friday', 'Fri', 'November', 'Nov', 4.429517499999999, nan, nan, nan, True),
